subject,predicate,object
公众,参与 via 城市管理,经济效益
公众,参与 via 城市管理,河道水质
公众,参与 via 城市管理,防洪排涝能力
公众,参与 via 城市管理,产业附加值
公众,参与 via 城市管理,雨水径流压力
公众,参与 via 城市管理,城市经济转型升级
公众,参与 via 城市管理,雨水资源利用
公众,建设 via 科技企业孵化器,新兴产业
公众,启动 via 地铁线路,市民出行
公众,加强 via 合作,科研院所
公众,加强 via 合作,高校
公众,编制 via 专项规划,环保措施
公众,编制 via 专项规划,人文关怀
公众,编制 via 专项规划,历史文化名城保护规划
公众,编制 via 专项规划,绿地系统规划
公众,编制 via 专项规划,城市建设
公众,编制 via 专项规划,交通规划
公众,提高 via 产业园区,空间
公众,提高 via 产业园区,平台
公众,提高 via 产业园区,产业发展平台
公众,改扩建 via 学校,上学难问题
公众,听取 via 公众参与,参考
公众,听取 via 公众参与,改进方向
公众,新建 via 交通设施,主干道改造
公众,新建 via 交通设施,城市交通
公众,新建 via 交通设施,投资力度
公众,新建 via 交通设施,交通问题
公众,新建 via 交通设施,主干道拓宽
公众,加强 via 城市基础设施,大规模改造和升级
公众,加强 via 城市基础设施,可靠性
公众,加强 via 城市基础设施,供电能力
公众,indirectly 加强,建设和维护
公众,改扩建 via 体育设施,便捷的体育锻炼场所
公众,改扩建 via 体育设施,多样的体育锻炼场所
公众,结合 via 城市发展,科学布局和规划
公众,结合 via 城市发展,精细管理
公众,结合 via 城市发展,显著成效
公众,结合 via 城市发展,持续创新
公众,结合 via 城市发展,新兴产业
公众,结合 via 城市发展,科学规划
公众,加大 via 营商环境,审批流程
公众,加大 via 营商环境,服务效率
公众,加大 via 营商环境,项目落户
公众,加大 via 营商环境,企业落户
公众,建设 via 加速器,新兴产业
公众,加强 via 历史建筑,利用
公众,加强 via 历史建筑,修缮
公众,加强 via 交流,科研院所
公众,加强 via 交流,高校
公众,加强 via 工业污染,空气质量
公众,加强 via 工业污染,企业安装污染治理设施
公众,indirectly 加强,监管力度
公众,提高 via 城市环境,城市景观
公众,提高 via 城市环境,休闲娱乐
公众,提高 via 城市环境,噪音
公众,提高 via 城市环境,空气
公众,引入 via 数字化管理,管理效率
公众,引入 via 数字化管理,处理问题
公众,引入 via 数字化管理,全面覆盖
公众,引入 via 数字化管理,管理质量
公众,引入 via 数字化管理,管理人员负责
公众,引入 via 数字化管理,发现问题
公众,引入 via 数字化管理,精细化管理
公众,引入 via 数字化管理,智能技术
公众,支持 via 传统文化,升级换代
公众,支持 via 传统文化,技术改造
城市基础设施,应对 via 新能源,碳排放
专项规划,注重 via 环保措施,市民的健康意识
专项规划,注重 via 环保措施,提高污水处理能力
专项规划,注重 via 环保措施,市民的自我保健能力
专项规划,注重 via 环保措施,提高出水水质标准
专项规划,注重 via 环保措施,资源化利用
专项规划,注重 via 环保措施,垃圾处理
专项规划,注重 via 城市发展,科学布局和规划
专项规划,注重 via 城市发展,精细管理
专项规划,注重 via 城市发展,显著成效
专项规划,注重 via 城市发展,持续创新
专项规划,注重 via 城市发展,新兴产业
专项规划,注重 via 城市发展,科学规划
数字化管理,实现 via 智能技术,高效利用
数字化管理,实现 via 智能技术,电力资源优化配置
城市,划分为 via 数字化管理,管理效率
城市,划分为 via 数字化管理,处理问题
城市,划分为 via 数字化管理,全面覆盖
城市,划分为 via 数字化管理,管理质量
城市,划分为 via 数字化管理,管理人员负责
城市,划分为 via 数字化管理,发现问题
城市,划分为 via 数字化管理,精细化管理
城市,划分为 via 数字化管理,智能技术
问卷调查,用于 via 公众参与,参考
问卷调查,用于 via 公众参与,城市管理
问卷调查,用于 via 公众参与,改进方向
问卷调查,用于 via 公众参与,城市规划
公众参与,涉及 via 城市管理,水资源管理
公众参与,涉及 via 城市管理,生态环境
公众参与,涉及 via 城市管理,经济效益
公众参与,涉及 via 城市管理,河道水质
公众参与,涉及 via 城市管理,防洪排涝能力
公众参与,涉及 via 城市管理,产业附加值
公众参与,涉及 via 城市管理,雨水径流压力
公众参与,涉及 via 城市管理,城市经济转型升级
公众参与,涉及 via 城市管理,雨水资源利用
修缮,保护 via 历史建筑,保护措施
修缮,保护 via 历史建筑,传统文化
修缮,保护 via 历史建筑,利用
历史建筑,得到 via 传统文化,升级换代
历史建筑,得到 via 传统文化,技术改造
政府,改扩建 via 学校,上学难问题
政府,改扩建 via 休闲娱乐,公众
政府,改扩建 via 城市环境,城市景观
政府,改扩建 via 城市环境,噪音
政府,改扩建 via 城市环境,空气
政府,改扩建 via 体育设施,便捷的体育锻炼场所
政府,改扩建 via 体育设施,公众
政府,改扩建 via 体育设施,多样的体育锻炼场所
体育设施,服务 via 公众,新能源
体育设施,服务 via 公众,城市管理
体育设施,服务 via 公众,多个图书馆
体育设施,服务 via 公众,产学研融合
体育设施,服务 via 公众,市民自我保健能力
体育设施,服务 via 公众,新技术
体育设施,服务 via 公众,科技企业孵化器
体育设施,服务 via 公众,公共卫生体系建设
体育设施,服务 via 公众,垃圾焚烧发电厂
体育设施,服务 via 公众,生产效率
体育设施,服务 via 公众,科技研发
体育设施,服务 via 公众,城市供水系统检查
体育设施,服务 via 公众,地铁线路
体育设施,服务 via 公众,公交车数量
体育设施,服务 via 公众,市场竞争力
体育设施,服务 via 公众,清洁能源汽车
体育设施,服务 via 公众,合作
体育设施,服务 via 公众,新能源汽车
体育设施,服务 via 公众,多个文化馆
体育设施,服务 via 公众,体育设施建设
体育设施,服务 via 公众,专项规划
体育设施,服务 via 公众,疾病预防控制机制
体育设施,服务 via 公众,产业园区
体育设施,服务 via 公众,机动车尾气检测
体育设施,服务 via 公众,产品质量
体育设施,服务 via 公众,城市文化软实力
体育设施,服务 via 公众,河道管理
体育设施,服务 via 公众,学校
体育设施,服务 via 公众,学校建设投入
体育设施,服务 via 公众,历史建筑普查
体育设施,服务 via 公众,展览
体育设施,服务 via 公众,新工艺
体育设施,服务 via 公众,公众参与
体育设施,服务 via 公众,公交线路
体育设施,服务 via 公众,交通设施
体育设施,服务 via 公众,供水稳定性
体育设施,服务 via 公众,健康生活方式
体育设施,服务 via 公众,城市基础设施
体育设施,服务 via 公众,城市发展
体育设施,服务 via 公众,科技创新工作
体育设施,服务 via 公众,市场开拓
体育设施,服务 via 公众,多个博物馆
体育设施,服务 via 公众,医疗服务
体育设施,服务 via 公众,老旧管道
体育设施,服务 via 公众,保护措施
体育设施,服务 via 公众,慢行交通系统建设
体育设施,服务 via 公众,健身设施
体育设施,服务 via 公众,应急救治机制
体育设施,服务 via 公众,营商环境
体育设施,服务 via 公众,演出
体育设施,服务 via 公众,城市规划
体育设施,服务 via 公众,健康教育
体育设施,服务 via 公众,上下游企业之间的合作
体育设施,服务 via 公众,加速器
体育设施,服务 via 公众,成果转化
体育设施,服务 via 公众,开发区
体育设施,服务 via 公众,水资源管理
体育设施,服务 via 公众,透水铺装
体育设施,服务 via 公众,传统产业的生产效率
体育设施,服务 via 公众,产业园区吸引力
体育设施,服务 via 公众,历史建筑
体育设施,服务 via 公众,交流
体育设施,服务 via 公众,雨水花园
体育设施,服务 via 公众,供水水质
体育设施,服务 via 公众,品牌建设
体育设施,服务 via 公众,工业污染
体育设施,服务 via 公众,配套服务
体育设施,服务 via 公众,高效医疗服务
体育设施,服务 via 公众,便捷医疗服务
体育设施,服务 via 公众,市民健康意识
体育设施,服务 via 公众,产业链的协同发展
体育设施,服务 via 公众,基础设施建设
体育设施,服务 via 公众,城市环境
体育设施,服务 via 公众,市场开拓工作
体育设施,服务 via 公众,文化遗产
体育设施,服务 via 公众,城市实际
体育设施,服务 via 公众,数字化管理
体育设施,服务 via 公众,基层医疗卫生机构建设
体育设施,服务 via 公众,传统产业的产品质量
体育设施,服务 via 公众,未来趋势
体育设施,服务 via 公众,垃圾分类收集站
体育设施,服务 via 公众,传统文化
健身设施,indirectly 提供,便捷的体育锻炼场所
健身设施,提供 via 体育设施,公众
健身设施,indirectly 提供,多样的体育锻炼场所
城市环境,提供 via 休闲娱乐,公众
休闲娱乐,改善 via 城市环境,城市景观
休闲娱乐,改善 via 城市环境,噪音
休闲娱乐,改善 via 城市环境,空气
休闲娱乐,服务 via 公众,新能源
休闲娱乐,服务 via 公众,城市管理
休闲娱乐,服务 via 公众,多个图书馆
休闲娱乐,服务 via 公众,产学研融合
休闲娱乐,服务 via 公众,市民自我保健能力
休闲娱乐,服务 via 公众,新技术
休闲娱乐,服务 via 公众,科技企业孵化器
休闲娱乐,服务 via 公众,公共卫生体系建设
休闲娱乐,服务 via 公众,垃圾焚烧发电厂
休闲娱乐,服务 via 公众,生产效率
休闲娱乐,服务 via 公众,科技研发
休闲娱乐,服务 via 公众,城市供水系统检查
休闲娱乐,服务 via 公众,地铁线路
休闲娱乐,服务 via 公众,公交车数量
休闲娱乐,服务 via 公众,市场竞争力
休闲娱乐,服务 via 公众,清洁能源汽车
休闲娱乐,服务 via 公众,合作
休闲娱乐,服务 via 公众,新能源汽车
休闲娱乐,服务 via 公众,多个文化馆
休闲娱乐,服务 via 公众,体育设施建设
休闲娱乐,服务 via 公众,专项规划
休闲娱乐,服务 via 公众,疾病预防控制机制
休闲娱乐,服务 via 公众,产业园区
休闲娱乐,服务 via 公众,机动车尾气检测
休闲娱乐,服务 via 公众,产品质量
休闲娱乐,服务 via 公众,城市文化软实力
休闲娱乐,服务 via 公众,河道管理
休闲娱乐,服务 via 公众,学校
休闲娱乐,服务 via 公众,学校建设投入
休闲娱乐,服务 via 公众,历史建筑普查
休闲娱乐,服务 via 公众,展览
休闲娱乐,服务 via 公众,新工艺
休闲娱乐,服务 via 公众,公众参与
休闲娱乐,服务 via 公众,公交线路
休闲娱乐,服务 via 公众,交通设施
休闲娱乐,服务 via 公众,供水稳定性
休闲娱乐,服务 via 公众,健康生活方式
休闲娱乐,服务 via 公众,城市基础设施
休闲娱乐,服务 via 公众,体育设施
休闲娱乐,服务 via 公众,城市发展
休闲娱乐,服务 via 公众,科技创新工作
休闲娱乐,服务 via 公众,市场开拓
休闲娱乐,服务 via 公众,多个博物馆
休闲娱乐,服务 via 公众,医疗服务
休闲娱乐,服务 via 公众,老旧管道
休闲娱乐,服务 via 公众,保护措施
休闲娱乐,服务 via 公众,慢行交通系统建设
休闲娱乐,服务 via 公众,健身设施
休闲娱乐,服务 via 公众,应急救治机制
休闲娱乐,服务 via 公众,营商环境
休闲娱乐,服务 via 公众,演出
休闲娱乐,服务 via 公众,城市规划
休闲娱乐,服务 via 公众,健康教育
休闲娱乐,服务 via 公众,上下游企业之间的合作
休闲娱乐,服务 via 公众,加速器
休闲娱乐,服务 via 公众,成果转化
休闲娱乐,服务 via 公众,开发区
休闲娱乐,服务 via 公众,水资源管理
休闲娱乐,服务 via 公众,透水铺装
休闲娱乐,服务 via 公众,传统产业的生产效率
休闲娱乐,服务 via 公众,产业园区吸引力
休闲娱乐,服务 via 公众,历史建筑
休闲娱乐,服务 via 公众,交流
休闲娱乐,服务 via 公众,雨水花园
休闲娱乐,服务 via 公众,供水水质
休闲娱乐,服务 via 公众,品牌建设
休闲娱乐,服务 via 公众,工业污染
休闲娱乐,服务 via 公众,配套服务
休闲娱乐,服务 via 公众,高效医疗服务
休闲娱乐,服务 via 公众,便捷医疗服务
休闲娱乐,服务 via 公众,市民健康意识
休闲娱乐,服务 via 公众,产业链的协同发展
休闲娱乐,服务 via 公众,基础设施建设
休闲娱乐,服务 via 公众,市场开拓工作
休闲娱乐,服务 via 公众,文化遗产
休闲娱乐,服务 via 公众,城市实际
休闲娱乐,服务 via 公众,数字化管理
休闲娱乐,服务 via 公众,基层医疗卫生机构建设
休闲娱乐,服务 via 公众,传统产业的产品质量
休闲娱乐,服务 via 公众,未来趋势
休闲娱乐,服务 via 公众,垃圾分类收集站
休闲娱乐,服务 via 公众,传统文化
执法检查,减少 via 工业污染,空气质量
执法检查,减少 via 工业污染,企业安装污染治理设施
执法检查,减少 via 工业污染,监管力度
行政处罚,减少 via 工业污染,空气质量
行政处罚,减少 via 工业污染,企业安装污染治理设施
行政处罚,减少 via 工业污染,监管力度
限制高排放车辆,降低 via 工业污染,空气质量
限制高排放车辆,降低 via 工业污染,企业安装污染治理设施
限制高排放车辆,降低 via 工业污染,监管力度
科技企业孵化器,促进 via 新兴产业,高质量发展
科技企业孵化器,促进 via 新兴产业,核心竞争力
科技企业孵化器,促进 via 新兴产业,科技成果
科技企业孵化器,促进 via 新兴产业,城市经济转型升级
加速器,促进 via 新兴产业,高质量发展
加速器,促进 via 新兴产业,核心竞争力
加速器,促进 via 新兴产业,科技成果
加速器,促进 via 新兴产业,城市经济转型升级
新能源,is type of,
丰富的精神文化生活,is type of,
全面覆盖,is type of,
城市管理,is type of,
继续教育,is type of,
职业教育,is type of,
多个图书馆,is type of,
执法检查,is type of,
产学研融合,is type of,
主干道改造,is type of,
提高污水处理能力,is type of,
市民的健康意识,is type of,
经济快速发展,is type of,
市民自我保健能力,is type of,
绿化带,is type of,
新技术,is type of,
科技企业孵化器,is type of,
噪音,is type of,
修缮,is type of,
公共卫生体系建设,is type of,
科学布局和规划,is type of,
垃圾焚烧发电厂,is type of,
城市交通,is type of,
生产效率,is type of,
大规模改造和升级,is type of,
城市供水系统检查,is type of,
科技研发,is type of,
国内外企业合作,is type of,
高校,is type of,
智能技术,is type of,
高效利用,is type of,
建设和维护,is type of,
城市经济转型升级,is type of,
地铁线路,is type of,
公交车数量,is type of,
处理问题,is type of,
医疗覆盖面,is type of,
市场竞争力,is type of,
就业能力,is type of,
行道树,is type of,
清洁能源汽车,is type of,
提高出水水质标准,is type of,
合作,is type of,
新能源汽车,is type of,
多个文化馆,is type of,
产业发展平台,is type of,
专项规划,is type of,
体育设施建设,is type of,
科学分类,is type of,
改造工程,is type of,
疾病预防控制机制,is type of,
空气质量,is type of,
上学难问题,is type of,
政府,is type of,
机动车尾气检测,is type of,
产业园区,is type of,
河道水质,is type of,
产品质量,is type of,
城市文化软实力,is type of,
河道管理,is type of,
投资力度,is type of,
交通问题,is type of,
学校,is type of,
学校建设投入,is type of,
文化设施,is type of,
历史建筑普查,is type of,
经济效益,is type of,
展览,is type of,
新工艺,is type of,
公众参与,is type of,
道路绿化工作,is type of,
交通规划,is type of,
学校布局,is type of,
人文关怀,is type of,
管理效率,is type of,
利用,is type of,
技术改造,is type of,
公交线路,is type of,
升级换代,is type of,
历史文化名城保护规划,is type of,
市民的自我保健能力,is type of,
科学规划,is type of,
交通设施,is type of,
供水稳定性,is type of,
项目落户,is type of,
健康生活方式,is type of,
城市基础设施,is type of,
体育设施,is type of,
垃圾处理,is type of,
城市发展,is type of,
监管力度,is type of,
休闲娱乐,is type of,
显著成效,is type of,
科技创新工作,is type of,
新兴产业,is type of,
市场开拓,is type of,
多个博物馆,is type of,
高质量发展,is type of,
医疗服务,is type of,
城市,is type of,
空间,is type of,
高效处理,is type of,
服务效率,is type of,
可靠性,is type of,
交通设施完善,is type of,
老旧管道,is type of,
改进方向,is type of,
碳排放,is type of,
保护措施,is type of,
慢行交通系统建设,is type of,
环保措施,is type of,
城市道路绿化覆盖率,is type of,
教育设施,is type of,
健身设施,is type of,
参考,is type of,
应急救治机制,is type of,
行政处罚,is type of,
营商环境,is type of,
市民出行,is type of,
演出,is type of,
供电能力,is type of,
城市规划,is type of,
健康教育,is type of,
上下游企业之间的合作,is type of,
加速器,is type of,
管理质量,is type of,
城市景观,is type of,
防洪排涝能力,is type of,
成果转化,is type of,
开发区,is type of,
水资源管理,is type of,
透水铺装,is type of,
空气,is type of,
教师待遇,is type of,
传统产业的生产效率,is type of,
产业园区吸引力,is type of,
历史建筑,is type of,
精细化管理,is type of,
雨水花园,is type of,
交流,is type of,
公众,is type of,
供水水质,is type of,
品牌建设,is type of,
城市垃圾问题,is type of,
核心竞争力,is type of,
工业污染,is type of,
教育资源配置,is type of,
城市基础设施建设,is type of,
管理人员负责,is type of,
配套服务,is type of,
高效医疗服务,is type of,
企业安装污染治理设施,is type of,
资源化利用,is type of,
限制高排放车辆,is type of,
便捷医疗服务,is type of,
雨水资源利用,is type of,
市民健康意识,is type of,
产业链的协同发展,is type of,
生态环境,is type of,
基础设施建设,is type of,
市民综合素质,is type of,
城市环境,is type of,
市场开拓工作,is type of,
城市建设,is type of,
文化遗产,is type of,
城市实际,is type of,
排水系统压力,is type of,
多样的体育锻炼场所,is type of,
审批流程,is type of,
平台,is type of,
城市雨水径流,is type of,
持续创新,is type of,
数字化管理,is type of,
电力资源优化配置,is type of,
基层医疗卫生机构建设,is type of,
绿地系统规划,is type of,
问卷调查,is type of,
便捷的体育锻炼场所,is type of,
发现问题,is type of,
传统产业的产品质量,is type of,
科研院所,is type of,
雨水径流压力,is type of,
主干道拓宽,is type of,
科技成果,is type of,
精细管理,is type of,
未来趋势,is type of,
垃圾分类收集站,is type of,
企业落户,is type of,
产业附加值,is type of,
传统文化,is type of,
教育公平,is type of,
新能源汽车,is type of,新能源
城市管理,is type of,城市
城市交通,is type of,城市
传统产业的生产效率,is type of,生产效率
城市供水系统检查,is type of,城市
国内外企业合作,is type of,合作
高效利用,is type of,利用
城市经济转型升级,is type of,城市
上下游企业之间的合作,is type of,合作
产业发展平台,is type of,平台
体育设施建设,is type of,体育设施
空气质量,is type of,空气
产业园区吸引力,is type of,产业园区
传统产业的产品质量,is type of,产品质量
城市文化软实力,is type of,城市
学校建设投入,is type of,学校
学校布局,is type of,学校
历史建筑普查,is type of,历史建筑
资源化利用,is type of,利用
雨水资源利用,is type of,利用
交通设施完善,is type of,交通设施
城市基础设施,is type of,城市
城市基础设施建设,is type of,城市基础设施
城市发展,is type of,城市
市场开拓工作,is type of,市场开拓
高效医疗服务,is type of,医疗服务
便捷医疗服务,is type of,医疗服务
城市道路绿化覆盖率,is type of,城市
城市规划,is type of,城市
城市景观,is type of,城市
城市垃圾问题,is type of,城市
城市基础设施建设,is type of,城市
城市环境,is type of,城市
城市建设,is type of,城市
城市面貌,is type of,城市
城市实际,is type of,城市
城市雨水径流,is type of,城市
城市基础设施建设,is type of,基础设施建设
